232 trajectories on 4 workers (56 already complete)
[65/232] three-plane-three-peaks s2 gpr-n peak=0.20 placement 0.0163 end_to_end 0.0253
[66/232] two-plane-asymmetric s0 vwrs peak=0.20 placement 0.0119 end_to_end 0.0288
[67/232] two-plane-asymmetric s0 vwrs-n peak=0.20 placement 0.0171 end_to_end 0.0290
[68/232] two-plane-asymmetric s0 gpr-var peak=0.20 placement 0.0230 end_to_end 0.0299
[69/232] two-plane-asymmetric s0 gpr-u50-g50 peak=0.20 placement 0.0309 end_to_end 0.0383
[70/232] two-plane-asymmetric s0 vurs peak=0.20 placement 0.0127 end_to_end 0.0251
[71/232] two-plane-asymmetric s1 space-filling peak=0.20 placement 0.0160 end_to_end 0.0319
[72/232] two-plane-asymmetric s0 vurs-n peak=0.20 placement 0.0129 end_to_end 0.0226
[73/232] two-plane-asymmetric s0 vurs-a peak=0.20 placement 0.0157 end_to_end 0.0235
[74/232] two-plane-asymmetric s1 vwrs peak=0.20 placement 0.0083 end_to_end 0.0222
[75/232] two-plane-asymmetric s0 gpr-n peak=0.20 placement 0.0201 end_to_end 0.0298
[76/232] two-plane-asymmetric s1 vwrs-n peak=0.20 placement 0.0120 end_to_end 0.0233
[77/232] two-plane-asymmetric s1 gpr-var peak=0.20 placement 0.0206 end_to_end 0.0303
[78/232] two-plane-asymmetric s1 gpr-u50-g50 peak=0.20 placement 0.0197 end_to_end 0.0312
[79/232] two-plane-asymmetric s1 vurs peak=0.20 placement 0.0113 end_to_end 0.0273
[80/232] two-plane-asymmetric s2 space-filling peak=0.20 placement 0.0273 end_to_end 0.0342
[81/232] two-plane-asymmetric s1 vurs-n peak=0.20 placement 0.0131 end_to_end 0.0252
[82/232] two-plane-asymmetric s1 vurs-a peak=0.20 placement 0.0141 end_to_end 0.0247
[83/232] two-plane-asymmetric s2 vwrs peak=0.20 placement 0.0130 end_to_end 0.0234
[84/232] two-plane-asymmetric s1 gpr-n peak=0.20 placement 0.0144 end_to_end 0.0246
[85/232] two-plane-asymmetric s2 vwrs-n peak=0.20 placement 0.0119 end_to_end 0.0218
[86/232] two-plane-asymmetric s2 gpr-var peak=0.20 placement 0.0208 end_to_end 0.0300
[87/232] two-plane-asymmetric s2 vurs peak=0.20 placement 0.0119 end_to_end 0.0231
[88/232] two-plane-asymmetric s2 gpr-u50-g50 peak=0.20 placement 0.0153 end_to_end 0.0242
[89/232] two-plane-four-peaks s1 space-filling peak=0.10 placement 0.0174 end_to_end 0.0239
[90/232] two-plane-asymmetric s2 vurs-n peak=0.20 placement 0.0154 end_to_end 0.0236
[91/232] two-plane-asymmetric s2 vurs-a peak=0.20 placement 0.0149 end_to_end 0.0197
[92/232] two-plane-four-peaks s1 vwrs peak=0.10 placement 0.0100 end_to_end 0.0153
[93/232] two-plane-asymmetric s2 gpr-n peak=0.20 placement 0.0173 end_to_end 0.0273
